segment,customers,avg_recency_days,avg_frequency,avg_monetary,total_revenue,customer_share,revenue_share
At Risk,22154,395.6310372844633,1.0478920285275797,167.02768123138034,3700331.25,0.23730157029927804,0.23993129664927673
Potential Loyalists,22421,134.45885553721956,1.0,160.4344489541055,3597100.78,0.2401615287388333,0.23323778224544753
Hibernating,14922,396.59650180940895,1.0,162.8019575123978,2429330.81,0.15983632897020073,0.15751900353065357
Champions,6513,91.90726239828037,1.1807154920927376,312.1721418701059,2033177.16,0.06976370530645472,0.13183220618870106
Loyal Customers,16009,90.8993691048785,1.0139921294271972,117.00110687738147,1873070.72,0.17147968037018788,0.1214508259403518
Others,11339,221.5879707205221,1.0580298086250992,157.8138327894876,1789451.05,0.1214571863150453,0.11602888544556916
